관리번호,정류장명,경도,위도,관리기관
250001192,만천3리,127.77513,37.8761,춘천
250001193,산림조합강원본부,127.75365,37.88724,춘천
250001194,산림조합강원본부,127.75322,37.88699,춘천
250001195,발산3리,127.74599,37.95911,춘천
250001196,발산1리,127.7463,37.95331,춘천
250001197,운전면허시험장,127.75073,37.94753,춘천
250001198,소양강댐주차장,127.80195,37.93833,춘천
250001199,직업능력개발센터,127.73946,37.91202,춘천
250001200,월곡리,127.7982,37.91746,춘천
250001201,감정리,127.78678,37.90376,춘천
250001202,농협강원지역본부,127.72308,37.87707,춘천
250001203,후평3동우체국,127.75268,37.87244,춘천
250001204,부안주유소,127.75247,37.87243,춘천
250001205,후평중학교,127.74838,37.87733,춘천
250001206,주공7단지,127.75105,37.87554,춘천
250001207,주공7단지,127.75116,37.87572,춘천
250001208,주공6단지,127.74887,37.87433,춘천
250001209,주공6단지,127.74837,37.87422,춘천
250001210,주공5단지,127.74691,37.87346,춘천
250001211,후평동종점,127.74863,37.89293,춘천
250001212,후평동종점,127.74874,37.89376,춘천
250001213,후평주공4단지후문,127.75763,37.87492,춘천
250001214,후평주공4단지 후문,127.75778,37.87495,춘천
250001215,후평주공4단지,127.75696,37.87624,춘천
250001216,대우아파트,127.75709,37.87624,춘천
250001217,후평3동주민센터,127.75371,37.87624,춘천
250001218,후평3동주민센터,127.7548,37.87646,춘천
250001219,후동리,127.6221,37.7462,춘천
250001220,후동리,127.62018,37.74805,춘천
250001221,후동리,127.62402,37.75749,춘천
250001222,소주고개,127.62681,37.7603,춘천
250001223,후동리,127.62009,37.74793,춘천
250001224,후동리,127.62196,37.74616,춘천
250001225,후동2리입구,127.63426,37.74274,춘천
250001226,후동2리입구,127.63433,37.74264,춘천
250001227,후동2리,127.63075,37.74684,춘천
250001228,후동,127.61969,37.75097,춘천
250001229,중부지구대,127.73832,37.87541,춘천
250001230,중부지구대,127.73787,37.87579,춘천
250001231,발산1리,127.59631,37.73018,춘천
250001232,황골,127.59612,37.73002,춘천
250001233,화목원,127.72494,37.92214,춘천
250001234,화목원,127.72328,37.92221,춘천
250001235,화광사,127.64028,37.74512,춘천
250001236,화광사,127.64052,37.74504,춘천
250001237,호반체육관,127.75526,37.86541,춘천
250001238,우석중학교,127.75522,37.86557,춘천
250001239,호반아파트,127.71945,37.89005,춘천
250001240,호반아파트,127.71969,37.89015,춘천
250001241,호반동주민센터,127.72339,37.89231,춘천
250001242,형제기업,127.75091,37.88765,춘천
250001243,혈동2리종점,127.68748,37.78532,춘천
250001244,혈동2리마을회관,127.68504,37.78785,춘천
250001245,혈동2리마을회관,127.68514,37.7879,춘천
250001246,혈동2리,127.68656,37.79391,춘천
250001247,혈동2리,127.68679,37.79427,춘천
250001248,혈동1리종점,127.69994,37.77153,춘천
250001249,혈동1리입구,127.7138,37.7707,춘천
250001250,혈동1리입구,127.7139,37.7705,춘천
250001251,현암리,127.68737,37.8889,춘천
250001252,현암리,127.68361,37.885,춘천
250001253,현암리,127.6775,37.87683,춘천
250001254,현암리,127.67768,37.87687,춘천
250001255,현암리,127.68375,37.88496,춘천
250001256,현암리,127.68755,37.88887,춘천
250001257,강원도재활병원,127.73827,37.90355,춘천
250001258,현대3차,127.75184,37.88107,춘천
250001259,현대3차,127.75223,37.88109,춘천
250001260,신촌2리,127.76646,37.847,춘천
250001261,신촌2리,127.7664,37.84713,춘천
250001262,향교,127.73466,37.8815,춘천
250001263,향교,127.73514,37.88177,춘천
250001264,행촌리,127.67823,37.74212,춘천
250001265,행촌리,127.67871,37.74214,춘천
250001266,디아펠리즈,127.72469,37.8707,춘천
250001267,율문2리,127.75572,37.9269,춘천
250001268,율문2리,127.75584,37.92709,춘천
250001269,항공대정문,127.76167,37.92929,춘천
250001270,항공대정문,127.76178,37.92947,춘천
250001271,할렐루야기도원,127.77217,37.79398,춘천
250001272,할렐루야기도원,127.77274,37.79465,춘천
250001273,장애인종합복지관,127.75552,37.84698,춘천
250001274,장애인종합복지관,127.7553,37.84742,춘천
250001275,한림대학교,127.73725,37.88316,춘천
250001276,한국토지주택공사,127.72922,37.86925,춘천
250001277,한국전력,127.74863,37.8835,춘천
250001278,한국전력,127.74892,37.88354,춘천
250001279,한국은행,127.72859,37.88225,춘천
250001280,한계울마을,127.72778,37.9403,춘천
250001281,한계울마을,127.72757,37.94024,춘천
250001282,학곡리종점,127.7603,37.83486,춘천
250001283,학곡리종점,127.76041,37.83501,춘천
250001284,하일종점,127.75496,37.91395,춘천
250001285,하일입구,127.75166,37.90158,춘천
250001286,하일입구,127.75162,37.90152,춘천
250001287,하이마트,127.73888,37.85607,춘천
250001288,하이마트,127.73919,37.85607,춘천
250001289,하사관주택,127.70712,37.86456,춘천
250001290,하사관주택,127.70695,37.86503,춘천
250001291,율문3리,127.76536,37.92992,춘천
250001292,포스코더샵아파트,127.74948,37.88061,춘천
250001293,포스코더샵아파트,127.74675,37.8817,춘천
250001294,포스코더샵아파트,127.74696,37.88157,춘천
250001295,포스코더샵아파트,127.7485,37.88162,춘천
250001298,팔미쉼터,127.70383,37.82162,춘천
250001299,팔미3리,127.69825,37.81379,춘천
250001300,팔미3리,127.69635,37.80964,춘천
250001301,팔미리,127.69817,37.81387,춘천
250001302,팔미1리,127.70436,37.82161,춘천
250001303,퇴계동원예농협,127.74443,37.85149,춘천
250001304,투탑시티,127.74413,37.85054,춘천
250001305,퇴계현대1차,127.72502,37.85858,춘천
250001306,퇴계현대1차,127.72643,37.85792,춘천
250001307,한진한성,127.72313,37.85945,춘천
250001308,퇴계한주아파트입구,127.734,37.851,춘천
250001309,가족보건원,127.73544,37.8509,춘천
250001310,퇴계한주아파트,127.73898,37.84919,춘천
250001311,퇴계한주아파트,127.7346,37.8512,춘천
250001312,퇴계주공9차,127.74083,37.84767,춘천
250001313,퇴계주공7단지,127.74092,37.84784,춘천
250001314,퇴계주공6차아파트,127.74079,37.85115,춘천
250001315,퇴계주공6차,127.74157,37.85142,춘천
250001316,퇴계주공6차,127.74101,37.85122,춘천
250001317,퇴계주공5차아파트,127.74057,37.85436,춘천
250001318,퇴계주공4차,127.74545,37.85361,춘천
250001319,퇴계주공4차,127.74608,37.85472,춘천
250001320,퇴계주공3.4차,127.74472,37.85578,춘천
250001321,퇴계주공3.4차,127.74437,37.85567,춘천
250001322,퇴계주공2차,127.7371,37.85841,춘천
250001323,퇴계주공1차,127.73698,37.85871,춘천
250001324,퇴계우체국,127.72326,37.85962,춘천
250001325,퇴계우성아파트,127.73021,37.85998,춘천
250001326,퇴계동입구,127.72763,37.8593,춘천
250001327,남부초교,127.72743,37.85931,춘천
250001328,퇴계농공단지입구,127.73264,37.8474,춘천
250001329,퇴계농공단지,127.73233,37.84712,춘천
250001330,퇴계금호아파트,127.73881,37.84907,춘천
250001331,토우시장,127.74738,37.88427,춘천
250001332,토우시장,127.74767,37.88312,춘천
250001333,태봉,127.6852,37.88759,춘천
250001334,탑말,127.69972,37.9464,춘천
250001335,탑말,127.69971,37.94627,춘천
250001336,크로바아파트,127.74408,37.8805,춘천
250001337,크로바아파트,127.74503,37.88071,춘천
