정류장,위도 ,경도,,,
후평환승센터\t,37.883432,127.748732,,,
춘천역환승센터\t,37.885,127.7177,,,
중앙시장환승센터\t,37.877458,127.724237,,,
남춘천역화능센터\t,37.863912,127.723168,,,
춘천로데오거리\t,37.855207,127.749549,,,
강원대\t,37.873594,127.742421,,,
후평환승센터\t,37.883432,127.748732,,,
효석로77(석사동),37.860825,127.739468,,,
강원대\t,37.873594,127.742421,,,
효자빌라(효자동),37.877204,127.740557,,,
서부대성로,37.87901,127.733757,,,
금강로84,37.879282,127.732205,,,
봉의산길 22번길,37.885412,127.733358,,,
춘광상회,37.884936,127.728983,,,
중앙시장환승센터\t,37.877458,127.724237,,,
망대길,37.874716,127.724492,,,
미소지움정문,37.871517,127.718337,,,
남춘천역화능센터\t,37.863912,127.723168,,,
효석로77(석사동),37.860825,127.739468,,,
